#Table: J/ApJ/837/120/table4a.dat (cdsarc.u-strasbg.fr)
-------------------------------------------------------------------------
    Mass50|    Mass16|    Mass84|    SNR50|     SNR16|     SNR84|Nsn|Ngal
----------|----------|----------|---------|----------|----------|---|----
3.45e+08  |2.2149e+08|5.1167e+08| 2.213800| 1.8314000| 5.0909000|  1| 171
8.4208e+08|5.3667e+08|1.2398e+09| 0.383790| 0.3174900| 0.8825600|  1| 454
8.825e+08 |5.6488e+08|1.3049e+09| 1.087200| 0.5916900| 1.0575000|  3| 456
9.7333e+08|6.7457e+08|1.5583e+09| 0.859360| 0.4677000| 0.8359400|  3| 483
1.4162e+09|9.1337e+08|2.11e+09  | 0.868140| 0.4154900| 0.6864400|  4| 478
1.4453e+09|9.2924e+08|2.1467e+09| 0.871220| 0.4169600| 0.6888800|  4| 466
1.4779e+09|9.4006e+08|2.1717e+09| 1.011900| 0.4370700| 0.6845300|  5| 484
2.1567e+09|1.3049e+09|3.0146e+09| 0.721720| 0.2862800| 0.4310700|  6| 592
2.4917e+09|1.5583e+09|3.6e+09   | 0.477160| 0.2061100| 0.3228000|  5| 641
2.6817e+09|1.6925e+09|3.91e+09  | 0.429900| 0.1856900| 0.2908300|  5| 670
3.25e+09  |2.1467e+09|4.9591e+09| 0.328880| 0.1420600| 0.2224900|  5| 728
3.3317e+09|2.1717e+09|5.0168e+09| 0.330820| 0.1429000| 0.2238000|  5| 711
5.5633e+09|3.5042e+09|8.0951e+09| 0.146110| 0.0699270| 0.1155300|  4| 812
5.6842e+09|3.5467e+09|8.1933e+09| 0.399410| 0.1185700| 0.1603700| 11| 806
5.8042e+09|3.6098e+09|8.3392e+09| 0.392640| 0.1165600| 0.1576500| 11| 805
5.8442e+09|3.6286e+09|8.3825e+09| 0.421940| 0.1200900| 0.1603400| 12| 811
5.8625e+09|3.6477e+09|8.4267e+09| 0.450680| 0.1233700| 0.1628600| 13| 815
6.0792e+09|3.7938e+09|8.7642e+09| 0.463990| 0.1225100| 0.1600900| 14| 821
6.5929e+09|4.1492e+09|9.5851e+09| 0.430120| 0.1098100| 0.1421900| 15| 868
